ÏñÔª	¹âÇ¿
1	  9
2	  9
3	  9
4	  9
5	  9
6	  9
7	  9
8	  9
9	  9
10	  9
11	  9
12	  9
13	  9
14	  9
15	  9
16	  9
17	  9
18	  9
19	  9
20	  9
21	 10
22	 10
23	 10
24	  9
25	 10
26	  9
27	 10
28	  9
29	  9
30	 10
31	 10
32	 10
33	 10
34	  9
35	 10
36	 10
37	 10
38	  9
39	 10
40	 10
41	 10
42	 10
43	 10
44	 10
45	 10
46	 10
47	 10
48	 10
49	 10
50	 10
51	 10
52	 10
53	 10
54	 10
55	 10
56	 10
57	 10
58	 10
59	 10
60	 10
61	 11
62	 10
63	 11
64	 11
65	 11
66	 11
67	 11
68	 11
69	 11
70	 11
71	 11
72	 12
73	 12
74	 13
75	 13
76	 14
77	 15
78	 16
79	 16
80	 18
81	 19
82	 21
83	 23
84	 26
85	 28
86	 32
87	 35
88	 39
89	 43
90	 48
91	 53
92	 59
93	 66
94	 73
95	 80
96	 89
97	 98
98	107
99	117
100	126
101	137
102	146
103	156
104	165
105	174
106	181
107	189
108	195
109	202
110	209
111	213
112	216
113	217
114	216
115	214
116	209
117	207
118	203
119	199
120	194
121	189
122	185
123	178
124	172
125	166
126	160
127	154
128	147
129	139
130	132
131	124
132	117
133	108
134	 99
135	 93
136	 88
137	 83
138	 82
139	 83
140	 85
141	 87
142	 88
143	 88
144	 89
145	 90
146	 89
147	 90
148	 91
149	 91
150	 92
151	 92
152	 91
153	 91
154	 92
155	 92
156	 92
157	 93
158	 94
159	 96
160	 96
161	 98
162	101
163	102
164	103
165	105
166	106
167	108
168	109
169	110
170	113
171	115
172	117
173	119
174	121
175	124
176	126
177	128
178	129
179	132
180	134
181	135
182	140
183	142
184	144
185	146
186	148
187	147
188	146
189	144
190	142
191	142
192	141
193	141
194	143
195	145
196	147
197	149
198	152
199	153
200	152
201	152
202	149
203	148
204	146
205	143
206	142
207	143
208	144
209	145
210	145
211	145
212	144
213	144
214	142
215	139
216	138
217	136
218	137
219	138
220	137
221	138
222	137
223	137
224	138
225	139
226	140
227	142
228	142
229	142
230	143
231	143
232	143
233	144
234	145
235	145
236	145
237	147
238	146
239	144
240	144
241	143
242	143
243	144
244	144
245	147
246	148
247	151
248	153
249	154
250	155
251	155
252	156
253	157
254	157
255	156
256	155
257	154
258	152
259	151
260	150
261	150
262	152
263	152
264	153
265	155
266	156
267	159
268	161
269	165
270	171
271	175
272	177
273	177
274	177
275	175
276	173
277	171
278	170
279	170
280	169
281	169
282	171
283	169
284	166
285	165
286	165
287	163
288	161
289	160
290	158
291	157
292	155
293	156
294	159
295	162
296	165
297	168
298	172
299	175
300	173
301	170
302	169
303	166
304	165
305	165
306	164
307	165
308	164
309	164
310	164
311	165
312	169
313	172
314	174
315	175
316	178
317	179
318	178
319	177
320	175
321	176
322	176
323	177
324	178
325	178
326	179
327	176
328	176
329	176
330	176
331	179
332	181
333	181
334	181
335	178
336	174
337	171
338	168
339	165
340	162
341	162
342	163
343	165
344	167
345	169
346	170
347	167
348	167
349	167
350	166
351	166
352	165
353	163
354	160
355	158
356	159
357	163
358	165
359	167
360	165
361	165
362	165
363	166
364	170
365	171
366	172
367	172
368	170
369	168
370	168
371	170
372	172
373	176
374	177
375	175
376	174
377	173
378	175
379	179
380	186
381	192
382	195
383	194
384	191
385	189
386	188
387	187
388	188
389	188
390	189
391	190
392	191
393	191
394	193
395	196
396	200
397	199
398	194
399	188
400	181
401	179
402	179
403	182
404	182
405	182
406	181
407	183
408	185
409	187
410	191
411	195
412	201
413	206
414	208
415	204
416	199
417	191
418	188
419	188
420	188
421	186
422	181
423	178
424	177
425	180
426	185
427	187
428	190
429	193
430	196
431	197
432	199
433	198
434	195
435	191
436	188
437	187
438	188
439	190
440	189
441	187
442	183
443	183
444	182
445	183
446	183
447	185
448	188
449	188
450	186
451	186
452	187
453	188
454	187
455	185
456	184
457	182
458	179
459	179
460	177
461	175
462	174
463	171
464	171
465	171
466	173
467	172
468	170
469	170
470	168
471	171
472	173
473	176
474	172
475	170
476	168
477	168
478	169
479	174
480	179
481	181
482	180
483	177
484	177
485	182
486	186
487	187
488	188
489	187
490	185
491	185
492	183
493	183
494	186
495	189
496	192
497	197
498	197
499	195
500	192
501	192
502	192
503	191
504	186
505	183
506	181
507	177
508	172
509	168
510	168
511	171
512	176
513	180
514	180
515	178
516	174
517	171
518	169
519	169
520	168
521	170
522	175
523	183
524	190
525	196
526	199
527	198
528	195
529	192
530	189
531	191
532	193
533	197
534	200
535	204
536	204
537	200
538	195
539	191
540	188
541	184
542	175
543	166
544	163
545	163
546	166
547	174
548	180
549	185
550	184
551	185
552	185
553	181
554	173
555	169
556	172
557	180
558	182
559	180
560	179
561	183
562	189
563	196
564	203
565	210
566	210
567	199
568	192
569	189
570	185
571	177
572	173
573	181
574	195
575	206
576	212
577	213
578	212
579	208
580	201
581	199
582	202
583	210
584	216
585	213
586	209
587	207
588	203
589	196
590	192
591	193
592	197
593	202
