ÏñÔª	¹âÇ¿
742	 37
743	 38
744	 38
745	 38
746	 40
747	 42
748	 44
749	 47
750	 48
751	 50
752	 53
753	 56
754	 62
755	 66
756	 71
757	 77
758	 84
759	 92
760	 99
761	107
762	114
763	123
764	130
765	139
766	146
767	153
768	161
769	166
770	171
771	177
772	179
773	182
774	182
775	185
776	186
777	186
778	185
779	186
780	185
781	185
782	185
783	186
784	186
785	186
786	185
787	186
788	185
789	185
790	185
791	183
792	182
793	181
794	179
795	177
796	176
797	175
798	173
799	170
800	167
801	163
802	158
803	153
804	147
805	141
806	134
807	129
808	122
809	116
810	108
811	100
812	 93
813	 85
814	 77
815	 71
816	 66
817	 60
818	 57
819	 55
820	 52
821	 52
822	 53
823	 54
824	 56
825	 59
826	 63
827	 68
828	 73
829	 79
830	 87
831	 93
832	 99
833	108
834	113
835	121
836	126
837	134
838	141
839	149
840	157
841	162
842	167
843	173
844	175
845	178
846	179
847	181
848	181
849	182
850	182
851	184
852	184
853	186
854	186
855	188
856	189
857	190
858	188
859	190
860	189
861	189
862	190
863	190
864	190
865	191
866	192
867	191
868	191
869	192
870	192
871	192
872	193
873	193
874	193
875	192
876	191
877	191
878	190
879	189
880	189
881	188
882	187
883	186
884	185
885	184
886	180
887	178
888	174
889	171
890	166
891	162
892	157
893	151
894	145
895	139
896	132
897	127
898	120
899	113
900	107
901	101
902	 94
903	 88
904	 80
905	 74
906	 68
907	 64
908	 62
909	 59
910	 59
911	 58
912	 59
913	 61
914	 63
915	 65
916	 69
917	 73
918	 78
919	 83
920	 90
921	 96
922	103
923	109
924	117
925	123
926	129
927	137
928	142
929	149
930	153
931	157
932	159
933	162
934	163
935	163
936	162
937	159
938	155
939	152
940	145
941	140
942	135
943	129
944	122
945	116
946	109
947	103
948	 96
949	 90
950	 83
951	 77
952	 69
953	 64
954	 59
955	 55
956	 52
957	 48
958	 46
959	 44
960	 42
961	 40
962	 39
963	 38
964	 38
965	 37
966	 37
967	 37
968	 37
969	 37
970	 37
971	 37
972	 37
973	 36
974	 37
975	 37
976	 37
977	 37
978	 37
979	 37
980	 37
981	 37
982	 37
983	 37
984	 37
985	 37
986	 37
987	 37
988	 37
989	 37
990	 36
991	 37
992	 37
993	 37
994	 37
995	 37
996	 37
997	 37
998	 38
999	 38
1000	 39
1001	 40
1002	 41
1003	 43
1004	 44
1005	 46
1006	 49
1007	 52
1008	 57
1009	 61
1010	 66
1011	 72
1012	 78
1013	 84
1014	 91
1015	 97
1016	103
1017	111
1018	117
1019	125
1020	130
1021	137
1022	144
1023	150
1024	157
1025	162
1026	168
1027	172
1028	176
1029	180
1030	183
1031	185
1032	187
1033	190
1034	191
1035	193
1036	192
1037	193
1038	193
1039	195
1040	194
1041	194
1042	193
1043	194
1044	193
1045	191
1046	190
1047	189
1048	187
1049	184
1050	181
1051	177
1052	172
1053	167
1054	164
1055	157
1056	151
1057	146
1058	139
1059	134
1060	127
1061	121
1062	114
1063	107
1064	101
1065	 94
1066	 86
1067	 81
1068	 75
1069	 70
1070	 66
1071	 62
1072	 58
1073	 56
1074	 53
1075	 53
1076	 52
1077	 53
1078	 53
1079	 55
1080	 59
1081	 62
1082	 67
1083	 72
1084	 78
1085	 85
1086	 92
1087	 98
1088	105
1089	112
1090	116
1091	123
1092	130
1093	136
1094	142
1095	148
1096	154
1097	159
1098	164
1099	169
1100	172
1101	177
1102	180
1103	182
1104	184
1105	187
